player,team,role,overseas,points_match1,points_match2,points_match3,points_match4,points_match5,points_match6,points_match7,points_match8,points_match9,points_match10,points_match11,points_match12,points_match13,points_match14,points_q1_e,points_q2,points_final,points_total
M Siddharth,LSG,BOWL,,70,NO,4,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,74
Mayank Yadav,LSG,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,60,14,NO,NO,NO,NO,NO,NO,74
Kagiso Rabada,GT,BOWL,1,27,36,NO,NO,NO,NO,NO,NO,NO,NO,NO,-2,2,NO,NO,NO,NO,63
Kumar Kartikeya,RR,BOWL,,NO,NO,5,27,NO,29,NO,NO,NO,NO,2,NO,NO,NO,NO,NO,NO,63
Kwena Maphaka,RR,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,37,16,NO,NO,NO,53
Simarjeet Singh,SRH,BOWL,,48,1,NO,0,4,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,53
Adam Zampa,SRH,BOWL,1,23,25,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,48
Spencer Johnson,KKR,BOWL,1,7,35,5,NO,-2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,45
Kusal Mendis,GT,WK,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,43,NO,NO,43
Shahbaz Ahmed,LSG,AR,,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,27,-2,NO,NO,NO,39
Nuwan Thushara,RCB,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,39,NO,NO,NO,39
Nathan Ellis,CSK,BOWL,1,37,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,37
Kulwant Khejroliya,GT,BOWL,,NO,NO,NO,NO,37,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,37
